Episode: 0 Iteratio:0 reward:1 total_reward:1 episode_reward:1, loss:0 #items:1 conf. ratio:1.0.
Episode: 0 Iteratio:13800 reward:1 total_reward:1878 episode_reward:1878, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13900 reward:0 total_reward:1906 episode_reward:1906, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14000 reward:-1 total_reward:1877 episode_reward:1877, loss:0.52 #items:10000 conf. ratio:1.0.
Total Entries: 14001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.93 Hottest index: 219 [    6.,13994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:14100 reward:-1 total_reward:1777 episode_reward:1777, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14200 reward:-1 total_reward:1679 episode_reward:1679, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14300 reward:-1 total_reward:1633 episode_reward:1633, loss:0.59 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14400 reward:-1 total_reward:1533 episode_reward:1533, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14500 reward:-1 total_reward:1440 episode_reward:1440, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14600 reward:-1 total_reward:1343 episode_reward:1343, loss:0.53 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14700 reward:1 total_reward:1397 episode_reward:1397, loss:0.57 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14800 reward:0 total_reward:1352 episode_reward:1352, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:14900 reward:-1 total_reward:1401 episode_reward:1401, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15000 reward:-1 total_reward:1325 episode_reward:1325, loss:0.48 #items:10000 conf. ratio:1.0.
Total Entries: 15001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.93 Hottest index: 219 [    6.,14994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:15100 reward:-1 total_reward:1235 episode_reward:1235, loss:0.44 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15200 reward:1 total_reward:1164 episode_reward:1164, loss:0.5 #items:10000 conf. ratio:1.0.
